 100 Mile House, British Columbia
 Sunnyside, Newfoundland
 Surrey, British Columbia
 Sussex, New Brunswick
 Sutton, Ontario
 Sutton, Quebec
 Swan Hills, Alberta
 Swan Lake, Manitoba
 Swan River, Manitoba
 Swastika, Ontario
 Swift Current, Saskatchewan
 Swift River, Yukon
 Sydenham, Ontario
 Sydney, Nova Scotia
 Sylvan Lake, Alberta
 Taber, Alberta
 Tabusintac, New Brunswick
 Tachie, British Columbia
 Tadoule Lake, Manitoba
 Tadoussac, Quebec
 Tagish, Yukon
 Tahsis, British Columbia
 Tamworth, Ontario
 Tangier, Nova Scotia
 Tantallon, Saskatchewan
 Tara, Ontario
 Taschereau, Quebec
 Tasiujaq, Quebec
 Tatamagouche, Nova Scotia
 Tatla Lake, British Columbia
 Tavistock, Ontario
 Taylor, British Columbia
 Taylor Corners, Ontario
 Tecumseh, Ontario
 Teeswater, Ontario
 Telegraph Creek, British Columbia
 Telkwa, British Columbia
 Temagami, Ontario
 Temiscaming, Quebec
 Terra Nova, Newfoundland
 Terrace, British Columbia
 Terrace Bay, Ontario
 Terrasse Vaudreuil, Quebec
 Terrebonne, Quebec
 Terrenceville, Newfoundland
 Teslin, Yukon
 Tete-a-la-Baleine, Quebec
 Teulon, Manitoba
 Thamesford, Ontario
 Thamesville, Ontario
 The Eabametoong (Fort Hope) Fi, Ontario
 The Pas, Manitoba
 Thedford, Ontario
 Theodore, Saskatchewan
 Thessalon, Ontario
 Thessalon First Nation, Ontario
 Thetford Mines, Quebec
 Thicket Portage, Manitoba
 Thompson, Manitoba
 Thorburn, Nova Scotia
 Thorhild, Alberta
 Thornbury, Ontario
 Thorndale, Ontario
 Thorne, Ontario
 Thornhill, Ontario
 Thorold, Ontario
 Thorsby, Alberta
 Three Hills, Alberta
 Thrums, British Columbia
 Thunder Bay, Ontario
 Thurlow, Ontario
 Thurso, Quebec
 Tignish, Prince Edward Island
 Tilbury, Ontario
 Tilley, Alberta
 Tillsonburg, Ontario
 Timmins, Ontario
 Tingwick, Quebec
 Tisdale, Saskatchewan
 Tiverton, Ontario
 Toad River, British Columbia
 Tobermory, Ontario
 Tobique First Nation, New Brunswick
 Tofield, Alberta
 Tofino, British Columbia
 Togo, Saskatchewan
 Toledo, Ontario
 Tomahawk, Alberta
 Tompkins, Saskatchewan
 Topley, British Columbia
 Torbay, Newfoundland
 Toronto, Ontario
 Toronto Island, Ontario
 Torquay, Saskatchewan
 Torrington, Alberta
 Tottenham, Ontario
 Tracadie-Sheila, New Brunswick
 Trail, British Columbia
 Tramping Lake, Saskatchewan
 Treherne, Manitoba
 Tremblay, Quebec
 Trenton, Nova Scotia
 Trenton, Ontario
 Trepassey, Newfoundland
 Tribune, Saskatchewan
 Tring-Jonction, Quebec
 Triton, Newfoundland
 Trochu, Alberta
 Trois-Pistoles, Quebec
 Trois-Rivieres, Quebec
 Trout Creek, Ontario
 Trout Lake, Alberta
 Trout Lake, British Columbia
 Trout Lake, Northwest Territories
 Trout River, Newfoundland
 Trowbridge, Ontario
 Truro, Nova Scotia
 Tsay Keh Dene, British Columbia
 Tsiigehtchic, Northwest Territories
 Tuktoyaktuk, Northwest Territories
 Tumbler Ridge, British Columbia
 Turner Valley, Alberta
 Turnor Lake, Saskatchewan
 Turtleford, Saskatchewan
 Tusket, Nova Scotia
 Tweed, Ontario
 Twillingate, Newfoundland
 Two Hills, Alberta
 Tyne Valley, Prince Edward Island
 Ucluelet, British Columbia
 Udora, Ontario
 Umiujaq, Quebec
 Uniondale, Ontario
 Unionville, Ontario
 Unity, Saskatchewan
 Upper Island Cove, Newfoundland
 Upper Musquodoboit, Nova Scotia
 Upper Stewiacke, Nova Scotia
 Upsala, Ontario
 Upton, Quebec
 Uranium City, Saskatchewan
 Utterson, Ontario
 Uxbridge, Ontario
 Val Marie, Saskatchewan
 Val-Alain, Quebec
 Val-Barrette, Quebec
 Val-Belair, Quebec
 Val-Brillant, Quebec
 Val-David, Quebec
 Val-des-Bois, Quebec
 Val-d`Or, Quebec
 Valcartier, Quebec
 Valcourt, Quebec
 Valemount, British Columbia
 Vallee-Jonction, Quebec
 Valley East, Ontario
 Valleyview, Alberta
 Vallican, British Columbia
 Van Anda, British Columbia
 Vancouver, British Columbia
 Vanderhoof, British Columbia
 Vanguard, Saskatchewan
 Vanier, Ontario
 Vanier, Quebec
 Vankleek Hill, Ontario
 Vanscoy, Saskatchewan
 Varennes, Quebec
 Vaudreuil, Quebec
 Vaudreuil Dorion, Quebec
 Vaudreuil-sur-le-Lac, Quebec
 Vaughan, Ontario
 Vauxhall, Alberta
 Vavenby, British Columbia
 Vegreville, Alberta
 Venise-en-Quebec, Quebec
 Vercheres, Quebec
 Verdun, Quebec
 Vermilion, Alberta
 Vermilion Bay, Ontario
 Verner, Ontario
 Vernon, British Columbia
 Vernon River, Prince Edward Island
 Verona, Ontario
 Veteran, Alberta
 Vibank, Saskatchewan
 Victoria, British Columbia
 Victoria, Newfoundland
 Victoria, Ontario
 Victoriaville, Quebec
 View Royal, British Columbia
 Viking, Alberta
 Ville-Marie, Quebec
 Vilna, Alberta
 Vimont, Quebec
 Vineland, Ontario
 Virden, Manitoba
 Virginiatown, Ontario
 Viscount, Saskatchewan
 Vita, Manitoba
 Vonda, Saskatchewan
 Vulcan, Alberta
 Waasagomach, Manitoba
 Wabamun, Alberta
 Wabana, Newfoundland
 Wabigoon, Ontario
 Wabowden, Manitoba
 Wabush, Newfoundland
 Wadena, Saskatchewan
 Wainfleet, Ontario
 Wainwright, Alberta
 Wakaw, Saskatchewan
 Wakefield, Quebec
 Walden, Ontario
 Waldheim, Saskatchewan
 Walkerton, Ontario
 Wallace, Nova Scotia
 Wallaceburg, Ontario
 Walsh, Alberta
 Walton, Nova Scotia
 Wandering River, Alberta
 Wanham, Alberta
 Wanless, Manitoba
 Wapekeka First Nation, Ontario
 Wapella, Saskatchewan
 Warburg, Alberta
 Warden, Quebec
 Wardsville, Ontario
 Warkworth, Ontario
 Warman, Saskatchewan
 Warner, Alberta
 Warren, Ontario
 Warspite, Alberta
 Warwick, Quebec
 Wasaga Beach, Ontario
 Wasagaming, Manitoba
 Waskaganish, Quebec
 Waskatenau, Alberta
 Waskesiu Lake, Saskatchewan
 Waswanipi, Quebec
 Waterdown, Ontario
 Waterford, Ontario
 Waterhen, Manitoba
 Waterloo, Ontario
 Waterloo, Quebec
 Waterville, Quebec
 Watford, Ontario
 Watrous, Saskatchewan
 Watson, Saskatchewan
 Watson Lake, Yukon
 Waubaushene, Ontario
 Waverley, Nova Scotia
 Wawa, Ontario
 Wawanesa, Manitoba
 Wawota, Saskatchewan
 Webb, Saskatchewan
 Webbwood, Ontario
 Webequie, Ontario
 Wedgeport, Nova Scotia
 Weedon, Quebec
 Weedon Centre, Quebec
 Welcome, Ontario
 Welland, Ontario
 Wellandport, Ontario
 Wellesley, Ontario
 Wellington, Ontario
 Wellington, Prince Edward Island
 Wells, British Columbia
 Welsford, New Brunswick
 Welwyn, Saskatchewan
 Wembley, Alberta
 Wemindji, Quebec
 Wendover, Quebec
 Wesleyville, Newfoundland
 West Brome, Quebec
 West Guilford, Ontario
 West Lincoln, Ontario
 West Lorne, Ontario
 West Vancouver, British Columbia
 Westbank, British Columbia
 Westbury, Quebec
 Western Bay, Newfoundland
 Westfield, New Brunswick
 Westlock, Alberta
 Westmeath, Ontario
 Westmount, Quebec
 Westport, Newfoundland
 Westport, Ontario
 Westree, Ontario
 Westville, Nova Scotia
 Westwold, British Columbia
 Wetaskiwin, Alberta
 Weyburn, Saskatchewan
 Weymouth, Nova Scotia
 Whale Cove, Nunavut
 Wheatley, Ontario
 Whistler, British Columbia
 Whitbourne, Newfoundland
 Whitby, Ontario
 Whitchurch-Stouffville, Ontario
 White Fox, Saskatchewan
 White River, Ontario
 White Rock, British Columbia
 Whitecourt, Alberta
 Whitefish, Ontario
 Whitefish Falls, Ontario
 Whitefish River First Nation, Ontario
 Whitehorse, Yukon
 Whitelaw, Alberta
 Whitemouth, Manitoba
 Whitewood, Saskatchewan
 Whitney, Ontario
 Whycocomagh, Nova Scotia
 Wiarton, Ontario
 Wickham, Quebec
 Widewater, Alberta
 Wikwemikong, Ontario
 Wilberforce, Ontario
 Wilcox, Saskatchewan
 Wildwood, Alberta
 Wilkie, Saskatchewan
 Williams Lake, British Columbia
 Williamsburg, Ontario
 Willingdon, Alberta
 Willow Bunch, Saskatchewan
 Willowbrook, British Columbia
 Winchester, Ontario
 Windermere, Ontario
 Windsor, Nova Scotia
 Windsor, Ontario
 Windsor, Quebec
 Windthorst, Saskatchewan
 Winfield, Alberta
 Winfield, British Columbia
 Wingham, Ontario
 Winkler, Manitoba
 Winnipeg, Manitoba
 Winnipeg Beach, Manitoba
 Winnipegosis, Manitoba
 Winona, Ontario
 Winter Harbour, British Columbia
 Winterton, Newfoundland
 Wiseton, Saskatchewan
 Wishart, Saskatchewan
 Witless Bay, Newfoundland
 Woburn, Quebec
 Woking, Alberta
 Wolfville, Nova Scotia
 Wollaston Lake, Saskatchewan
 Wolseley, Saskatchewan
 Wonowon, British Columbia
 Wood Mountain, Saskatchewan
 Woodbridge, Ontario
 Woodridge, Manitoba
 Woodstock, New Brunswick
 Woodstock, Ontario
 Woodville, Ontario
 Woody Point, Newfoundland
 Wooler, Ontario
 Worsley, Alberta
 Wotton, Quebec
 Wrentham, Alberta
 Wrigley, Northwest Territories
 Wunnummin Lake, Ontario
 Wynndel, British Columbia
 Wynyard, Saskatchewan
 Wyoming, Ontario
 Yahk, British Columbia
 Yale, British Columbia
 Yamachiche, Quebec
 Yamaska, Quebec
 Yamaska-Est, Quebec
 Yarker, Ontario
 Yarmouth, Nova Scotia
 Yellow Creek, Saskatchewan
 Yellow Grass, Saskatchewan
 Yellowknife, Northwest Territories
 York, Ontario
 Yorkton, Saskatchewan
 Youbou, British Columbia
 Young, Saskatchewan
 Youngstown, Alberta
 Young`s Cove Road, New Brunswick
 Zealandia, Saskatchewan
 Zeballos, British Columbia
 Zenon Park, Saskatchewan
 Zurich, Ontario
